name,group,title,restraunant,lon,lat,address,call,article,category,,,,,
이채욱,인천공항공사,사장,충무호동복집,126.8483602,37.5513111,서울시 강서구 화곡로 53길 10,0226916300,,한식,,,,,
이토키 기미히로,소니코리아,사장,진주청국장,127.0305636,37.4843095,서울시 서초구 서초2동 1365-22,025256919,,한식,,,,,
이희범,한국경영자총협회,회장,안동국시,126.9886814,37.5694133,서울시 종로구 종로 16길 13,0222776131,,한식,,,,,
임영록,KB금융지주,회장,용수산,127.0131528,37.4981551,서울시 서초구 서초중앙로 188,025919674,,한식,,,,,
장마리 아르노,사노피아벤티스코리아,사장,한국회관,126.9955948,37.498354,서울시 서초구 사평대로 18길 10,025953355,,한식,,,,,
장인수,오비맥주,사장,위대한밥상 영광,127.0236558,37.5023998,서울시 서초구 서초대로 73길 58,0234826622,,한식,,,,,
장태평,한국마사회,회장,마울,127.0877732,37.5046802,서울시 송파구 백제고분로 187,024171950,,한식,,,,,
정영균,회림종합건축사무소,사장,예향,127.038261,37.5073654,서울시 강남구 언주로 107길 7,025660043,,한식,,,,,
정지영,NA,영화감독,달항아리,126.9814236,37.5835855,서울시 종로구 팔판길 42,027377902,,한식,,,,,
최광식,문화체육관광부,장관,고향집,127.0371867,37.5166843,서울시 강남구 언주로 134길 20,025436363,,한식,,,,,
최삼규,대한건설협회,회장,마포나룻터,126.9431187,37.5396792,서울시 마포구 마포대로 1길 16,027151255,,한식,,,,,
최수현,금융감독원,원장,남도복집,126.8962283,37.5263715,서울시 영등포구 여의나루 67,027842077,,한식,,,,,
최양하,한샘,회장,일미칼국수,126.9860708,37.4938791,서울시 서초구 방배중앙로 167,025939924,,한식,,,,,
프랑수아 프로보,르노삼성자동차,사장,마포본가,126.9834137,37.4781591,서울시 서초구 방배천로 4길 15-3,025255392,,한식,,,,,
한덕수,한국무역협회,회장,토담골,127.0369258,37.5084619,서울시 강남구 봉은사로 227,025485121,,한식,,,,,
한스 울리히 자이트,주한 독일 대사관,대사,콩두,126.9740022,37.5676468,서울시 중구 덕수궁길 116-1,027227002,,한식,,,,,
한정화,중소기업청,청장,아리랑,126.9439035,37.5403548,서울시 마포구 토정로 35길 11,027147171,,한식,,,,,
홍기택,산은금융그룹,회장,삼계탕마을,126.986592,37.5010866,서울시 서초구 신반포로 31,025965979,,한식,,,,,
홍석우,지식경제부,장관,향정,126.9840701,37.5742168,서울시 종로구 인사동길 47-4,027385006,,한식,,,,,
황건호,금융투자협회,회장,나무가 있는 집,126.9720179,37.5713445,서울시 종로구 경희궁길 12,027373888,,한식,,,,,
황교안,법무부,장관,영양센타,127.0107211,37.5034824,서울시 서초구 서초중앙로 247,025329292,,한식,,,,,
스콧 와이트먼,주한 영국 대사관,대사,민가다헌,126.9858924,37.574655,서울시 종로구 인사동 10길 23-9,027332966,,양식,,,,,
김담,경방타임스퀘어,사장,라쿠치나,126.9964656,37.5405032,서울시 용산구 회나무로 44길 10,027946005,,양식,,,,,
김영란,국민권익위원회,위원장,충정각,126.963767,37.5605293,서울시 서대문구 충정로 2길 8,023130424,,양식,,,,,
남민우,벤쳐기업협회,회장,알리고떼,127.0436352,37.5185803,서울시 강남구 선릉로 132길 29,025149973,,양식,,,,,
더크 밴 니커크,한국베링거인겔하임,사장,일비노로소,126.9830445,37.5505647,서울시 용산구 소월로 134,027540011,,양식,,,,,
미클로시 렌젤,주한 헝가리 대사관,대사,트레비아,126.9870557,37.5373206,서울시 용산구 녹사평대로 222,027946003,,양식,,,,,
박병원,은행연합회,회장,로씨니,126.9858106,37.5783486,서울시 종로구 북촌로 18,027668771,,양식,,,,,
윤용로,외환은행,은행장,램랜드,126.9388578,37.5433965,서울시 마포구 토정로 255,027040223,,양식,,,,,
이병우,NA,클래식 기타리스트,트라토리아 모로,127.0508063,37.5107053,서울시 강남구 봉은사로 68길 21,025566997,,양식,,,,,
이상봉,NA,패션디자이너,부엔까미노,127.0508063,37.5107053,서울시 강남구 봉은사로 68길 21,0234539726,,양식,,,,,
임기영,대우증권,사장,베니니,126.9683302,37.5725906,서울시 종로구 경희궁 1가길 1,0232103351,,양식,,,,,
정우현,미스터피자,회장,미피레또,126.9983647,37.4813134,서울시 서초구 효령로 132,025214978,,양식,,,,,
조영기,넷마블,대표,뚜띠쿠치나,126.8894764,37.5804334,서울시 마포구 월드컵북로 400,023020242,,양식,,,,,
최재호,무학,회장,파머스 키친,127.0159294,37.5140835,서울시 서초구 나루터로 10길 20,07075762111,,양식,,,,,
틸로 헬터,주한 유럽상공회의소,회장,톰볼라,127.0658225,37.5108358,서울시 강남구 테헤란로 113길 13,025686550,,양식,,,,,
황성호,우리투자증권,사장,올라,126.9185924,37.5211949,서울시 영등포구 여의대로 8,0220707220,,양식,,,,,
승효상,이로재종합건춝사무소,대표,도도야,127.004251,37.5799517,서울시 종로구 동숭길 39,027415959,,일식,,,,,
신응수,NA,대목장,배수사,126.9877562,37.5738754,서울시 종로구 삼일대로 440,027647762,,일식,,,,,
안성기,NA,영화배우,단,126.9715034,37.5706498,서울시 종로구 경희궁 1길 1,027208007,,일식,,,,,
오세정,기초과학연구원,원장,긴자,127.0148086,37.4968516,서울시 서초구 서초중앙로 28길 16,025370890,,일식,,,,,
진영욱,정책금융공사,사장,우미스시,126.9742708,37.5203788,서울시 용산구 이촌로 75길 12,027940111,,일식,,,,,
구재상,케이클라비스투자자문,대표,JS가든,127.0363404,37.5219756,서울시 강남구 도산대로 318,0234465288,,아시안,,,,,
신지애,NA,골프선수,마이홍,126.9927739,37.5347439,서울시 용산구 이태원로 23길 6,027948990,,아시안,,,,,
끼띠퐁 나 라농,주한 태국 대사관,대사,왕타이,126.990696,37.5344441,서울시 용산구 이태원로 151,027492746,,아시안,,,,,
조윤선,여성가족부,장관,오요리,126.9217281,37.5493395,서울시 마포구 와우산로 15길 28,023325525,,아시안,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
